uid,pos_iid,neg_iid,pos_seq
1639,18429,30787,"[501, 950, 1478, 1692, 3772, 7028, 7072, 7689, 7695, 8678, 9130, 9437, 9849, 12150, 13606, 15232, 17194, 17591]"
3766,18429,21733,"[819, 2883, 4096, 4769, 4770, 7045, 7514, 10328, 13911, 16135, 16230, 17033]"
855,18433,29149,"[1707, 3398, 3858, 4183, 6241, 6334, 8185, 8405, 8624, 8988, 10342, 11877, 15049, 15767, 17051]"
2793,18435,29738,"[129, 939, 1025, 1098, 3341, 4408, 4503, 5131, 6067, 8511, 8512, 10300, 14380, 14567, 16420, 16491]"
1101,18435,31048,"[129, 198, 1098, 1151, 2076, 2293, 9196, 10364, 10414, 14017, 14319, 17643, 17838]"
1070,18435,33288,"[129, 142, 205, 332, 382, 1097, 1099, 1106, 1517, 1635, 2600, 2611, 3909, 4220, 4752, 4879, 6284, 7945, 9834, 12993, 13446, 17133]"
1919,18436,32753,"[326, 1001, 1071, 1612, 1928, 1957, 2438, 2568, 2628, 2654, 2686, 2778, 2805, 2813, 2914, 4045, 4282, 4285, 4331, 5121, 5527, 5703, 6877, 7256, 7737, 8624, 8857, 9049, 11188, 12175, 12931]"
2195,18437,21114,"[1644, 2937, 12785, 14055, 14504, 16021, 16928, 17699, 17737, 17832, 17909]"
1926,18437,19378,"[98, 419, 579, 913, 1956, 3795, 4973, 5676, 6191, 6767, 6769, 7371, 8484, 10014, 10149]"
1070,18438,33977,"[129, 142, 205, 332, 382, 1097, 1099, 1106, 1517, 1635, 2600, 2611, 3909, 4220, 4752, 4879, 6284, 7945, 9834, 12993, 13446, 17133]"
1919,18439,24362,"[326, 1001, 1071, 1612, 1928, 1957, 2438, 2568, 2628, 2654, 2686, 2778, 2805, 2813, 2914, 4045, 4282, 4285, 4331, 5121, 5527, 5703, 6877, 7256, 7737, 8624, 8857, 9049, 11188, 12175, 12931]"
427,18439,32092,"[628, 1227, 1268, 1341, 1519, 1935, 1948, 2360, 2586, 3280, 4282, 5857, 6323, 7180, 7424, 8095, 8129, 8202, 9354, 9860, 9941, 13468, 13587, 14591, 18154]"
1793,18439,29567,"[767, 2512, 5739, 7110, 7175, 8204, 9135, 9146, 9240, 11258, 12386, 12797, 13511, 14324, 17218, 17892]"
1227,18439,27530,"[37, 419, 842, 3866, 5971, 6240, 6519, 6580, 6581, 6983, 13764]"
1276,18439,39122,"[1462, 1824, 1904, 1986, 2000, 4215, 4981, 10479, 13527, 18287]"
2276,18439,40184,"[60, 1106, 1117, 2329, 2839, 3221, 4151, 6958, 7324, 7734, 11159, 11317, 12692, 15806, 18156]"
1201,18439,39361,"[249, 291, 518, 567, 635, 721, 723, 1743, 2068, 2194, 2278, 3068, 3952, 5238, 5470, 5481, 5520, 5612, 5639, 5735, 5777, 5985, 6226, 6233, 6240, 6249, 6904, 7223, 7275, 8121, 8373, 8729, 10045, 10789, 11261, 11593, 11690, 12024, 12394, 12503, 12504, 13189, 13772, 13847, 13881, 14101, 14498, 14511, 14656, 14976, 15288, 15768, 16887, 17290, 17531, 17573, 17740]"
2922,18439,34755,"[25, 94, 228, 579, 1232, 1700, 1709, 3307, 3652, 3653, 5056, 5151, 5154, 5157, 5208, 5258, 5520, 5724, 6377, 6506, 6507, 6511, 6533, 6642, 6720, 7228, 7284, 7650, 7664, 7700, 8149, 8297, 8484, 8534, 8738, 8755, 8939, 8982, 8988, 9354, 9527, 10304, 10896, 10898, 11326, 11608, 11676, 11707, 11752, 12179, 12496, 12764, 13003, 13004, 13005, 13008, 13147, 13431, 13813, 13814, 14194, 14432, 14591, 15642, 15825, 16311, 17266, 17679, 17843]"
1419,18439,23953,"[627, 2302, 2456, 4315, 4787, 4837, 5158, 7065, 8919, 8976, 10930, 14467, 14932, 16272]"
2373,18439,35169,"[949, 1873, 2604, 2697, 2729, 2730, 3137, 3270, 6707, 7698, 8315, 9775, 10537, 12164, 13495, 14304]"
1269,18439,29453,"[4228, 4853, 5159, 5310, 6659, 6690, 6961, 7638, 10025, 13543, 13896, 14392, 15085, 15253, 16283, 17334, 17409, 17451]"
2994,18439,39405,"[628, 1544, 1608, 2470, 2471, 3124, 3617, 5182, 8063, 8752, 8953, 9459, 10753, 16833]"
2064,18440,21108,"[142, 324, 1171, 1844, 2633, 2786, 2787, 4788, 4914, 5969, 7694, 11026, 11317, 13437, 13934, 14122, 18060]"
504,18440,35288,"[15, 46, 142, 1099, 1836, 2107, 2135, 2679, 3134, 5625, 5677, 5851, 6743, 7622, 15733, 16461, 17558, 17838]"
1070,18440,32388,"[129, 142, 205, 332, 382, 1097, 1099, 1106, 1517, 1635, 2600, 2611, 3909, 4220, 4752, 4879, 6284, 7945, 9834, 12993, 13446, 17133]"
1018,18441,28118,"[313, 1948, 1954, 4707, 5352, 6720, 10735, 10924, 12067, 15618, 17662]"
2193,18441,34605,"[37, 2943, 3290, 3366, 3369, 5785, 6224, 10107, 12860, 13081, 14495]"
2842,18442,20475,"[39, 518, 644, 690, 695, 1160, 1316, 1698, 2189, 2495, 2883, 3058, 7236, 7698, 8367, 9002, 9203, 9407, 10036, 13527, 17287]"
122,18442,23288,"[785, 1227, 1974, 2405, 5292, 5662, 6978, 7856, 9482, 10487, 11425, 12058, 14390, 15152, 17109, 17183]"
3559,18444,25830,"[136, 182, 2758, 6383, 8654, 10131, 10967, 13831, 14450, 16085]"
2538,18445,30403,"[628, 2662, 4152, 8129, 12312, 13527, 15121, 16657, 17136, 17172]"
2169,18445,32583,"[389, 501, 973, 2125, 2194, 2601, 2876, 2969, 3046, 3229, 3375, 3794, 3795, 3807, 3846, 4207, 4349, 4404, 4427, 4460, 4761, 4781, 4787, 4926, 5079, 5285, 5399, 5520, 5814, 5835, 5857, 6579, 6960, 7168, 7647, 7718, 8021, 8522, 8779, 10772, 11206, 11593, 11818, 11856, 11934, 11982, 13373, 14220, 16134, 16600, 17989]"
1716,18445,35962,"[1372, 1993, 2128, 2166, 4272, 4485, 6306, 6318, 6336, 7060, 8189, 8190, 17728]"
1066,18446,35161,"[363, 366, 2133, 3408, 4103, 7305, 9089, 9833, 12318, 14995]"
1653,18446,26012,"[172, 518, 519, 935, 1204, 2201, 4021, 5285, 5287, 5405, 5713, 6487, 6836, 7186, 7921, 8248, 9355, 11133, 11753, 14619, 15336, 15818, 17052]"
2764,18446,40706,"[971, 1178, 1307, 2295, 2684, 3430, 4710, 6091, 7388, 8942, 9059, 13054, 14044, 14200, 15647, 16792, 17746]"
1736,18446,34263,"[1494, 1872, 6245, 8369, 11852, 12702, 12982, 14305, 14971, 15002, 15633]"
2572,18448,40093,"[457, 701, 940, 2148, 2149, 2432, 3152, 3249, 3784, 3828, 4233, 4882, 5276, 5541, 5760, 5761, 6021, 6558, 7068, 7302, 7317, 7319, 7528, 7543, 7587, 8027, 8039, 8147, 8155, 9010, 9199, 10474, 10499, 10551, 10679, 11302, 11436, 11499, 11871, 12203, 12630, 12954, 13578, 13649, 14360, 15063, 15121, 15892, 16757, 17426, 17851, 17862]"
2721,18448,30335,"[37, 706, 1056, 1184, 1579, 1803, 1822, 1831, 2423, 2456, 3582, 3702, 3706, 4331, 5258, 5917, 5963, 6021, 6265, 6757, 7020, 7320, 7558, 7586, 7635, 7906, 8470, 8757, 9541, 9690, 9839, 9853, 9876, 10077, 10311, 10499, 11343, 11764, 11832, 12103, 12465, 12602, 13472, 14189, 14192, 14412, 14465, 15310, 15383, 16271, 17015, 17536, 17728, 17831, 17861, 18047, 18117]"
1083,18448,19163,"[53, 61, 209, 400, 423, 474, 767, 991, 1129, 1131, 1647, 2026, 2388, 2408, 2634, 3527, 3747, 4681, 4940, 5123, 5527, 5851, 5858, 5922, 7183, 8010, 8486, 8819, 8942, 9303, 9959, 9991, 10157, 10331, 11967, 12579, 12828, 15553, 16207, 16372, 16733, 17054, 17091, 17440, 17483, 17670, 17921, 17944, 17956, 18124, 18153, 18165, 18173, 18214, 18219, 18260, 18272, 18284, 18311, 18357]"
1392,18450,20366,"[772, 792, 1844, 2329, 2372, 2787, 2947, 3508, 4344, 7742, 9682, 9991, 10035, 11736, 17683]"
658,18451,30343,"[100, 770, 900, 1839, 4927, 5629, 9910, 10502, 13703, 16189, 18022]"
2447,18455,26181,"[8828, 8940, 9991, 12604, 14735, 14764, 15806, 16854, 17162, 17594, 17626, 17683, 18301]"
621,18456,18363,"[794, 804, 1986, 2910, 2926, 2947, 3205, 5841, 5878, 7045, 7114, 7434, 8264, 9012, 9068, 9150, 9309, 12703, 12704, 14178, 14396, 15965, 16170, 16600]"
2958,18464,31662,"[3091, 6848, 8338, 11846, 12114, 15528, 15865, 16183, 16341, 16529, 16550]"
2309,18465,23483,"[795, 2001, 2050, 2947, 3180, 3417, 3610, 4915, 5306, 5317, 7114, 9097, 9627, 12364, 13544, 17380, 18145]"
2460,18465,19238,"[2109, 4820, 4927, 5149, 7175, 8823, 9760, 11690, 12719, 13392, 14778]"
1195,18469,22507,"[76, 1938, 2702, 4440, 8688, 9222, 9935, 10361, 10571, 11907]"
2686,18470,40487,"[213, 332, 403, 753, 961, 1122, 1635, 2245, 2434, 2458, 2614, 2620, 2738, 2748, 2752, 3471, 3473, 3691, 4042, 4045, 4079, 4515, 4591, 4608, 4807, 5296, 5498, 5500, 5594, 5875, 5887, 6005, 6926, 6949, 6950, 6993, 7244, 7473, 8710, 8783, 9029, 9200, 9557, 9656, 9748, 9969, 10009, 11466, 11690, 13093, 13933, 13974, 13976, 14533, 15403, 16314, 18085]"
2683,18470,35551,"[609, 1325, 1402, 2053, 2628, 3099, 3237, 3870, 4427, 4537, 4623, 4781, 5079, 5092, 5811, 6974, 7077, 7145, 7361, 7362, 7364, 8439, 9268, 9313, 9402, 9986, 10298, 10673, 10885, 10989, 11740, 12584, 12589, 13468, 13717, 14001, 14086, 14387, 14907, 15009, 15162, 15397, 15626, 15628, 15629, 15630, 15636, 15637, 15652, 15653, 16349, 16394, 16577, 17399, 17825]"
3080,18470,39106,"[1579, 2438, 3104, 4239, 4806, 5739, 6383, 7299, 8940, 9622, 12057, 12480, 13845, 15159]"
111,18470,36847,"[305, 667, 1963, 5249, 5258, 5933, 7905, 10725, 11230, 11661, 12097, 13986]"
1593,18470,26896,"[224, 474, 5208, 5520, 5932, 6144, 8765, 11781, 14886, 15934, 16381, 18024]"
368,18472,29067,"[422, 2493, 2933, 4234, 4453, 5841, 6141, 6969, 9504, 10060, 10571, 13468]"
3201,18474,24279,"[1534, 2030, 3357, 6453, 7277, 7528, 7980, 8329, 9240, 10400, 14531]"
2064,18474,27809,"[142, 324, 1171, 1844, 2633, 2786, 2787, 4788, 4914, 5969, 7694, 11026, 11317, 13437, 13934, 14122, 18060]"
1472,18479,39511,"[628, 4021, 4181, 4206, 6506, 7286, 8589, 13367, 15118, 15931, 16382]"
2639,18479,41309,"[372, 393, 558, 1883, 2489, 3655, 6384, 8167, 8264, 10376, 10389, 10759]"
437,18480,36375,"[244, 756, 989, 1103, 1158, 1180, 1297, 2267, 2634, 2685, 2804, 3212, 5561, 6528]"
876,18481,38671,"[2796, 4479, 4957, 5024, 7075, 9145, 9703, 10528, 11168, 11407, 11808, 14471, 14636, 15386, 18245]"
1721,18481,34401,"[1898, 2634, 3231, 5932, 6972, 8388, 10362, 10404, 12146, 12385, 12547, 12900, 15175, 15782, 16866, 17737, 17976, 18210, 18241]"
1390,18481,29613,"[1134, 1145, 1149, 4581, 5822, 8648, 8986, 9330, 9826, 9955, 10103, 10259, 12166, 16505]"
3867,18481,38291,"[9, 37, 492, 1034, 1798, 2460, 2656, 2966, 3628, 4038, 4537, 5026, 5478, 5677, 5907, 6712, 6805, 7157, 7269, 9091, 10384, 10510, 10522, 10526, 10530, 10712, 11271, 11907, 12270, 12645, 13187, 13458, 13581, 14117, 14480, 14764, 14772, 14789, 15947, 16471, 16722, 17231, 17569, 17615, 17626, 17699, 17737, 17738, 17821, 17832, 17944, 18023, 18092, 18121, 18152, 18194, 18203, 18242, 18249, 18260, 18316, 18348]"
3073,18481,18474,"[162, 709, 1139, 1150, 1887, 2686, 3692, 3993, 4609, 5128, 5537, 6550, 9407]"
2788,18481,30970,"[37, 501, 774, 2860, 2869, 3523, 3871, 6395, 7950, 7951, 9261, 9433, 10701, 12939, 13935, 13953, 14329, 14412]"
1482,18482,34468,"[320, 2144, 2397, 3769, 4425, 4897, 4900, 5814, 6091, 6092, 7117, 8234, 8924, 9051, 9335, 9491, 9653, 9701, 9711, 9712, 10144, 10254, 10621, 11877, 11982, 12797, 13024, 13782, 13888, 14270, 14699, 14702, 14843, 15004, 15076, 16143, 17949]"
1532,18482,38765,"[104, 320, 387, 839, 840, 940, 941, 985, 1525, 1876, 1933, 2224, 2502, 2633, 2796, 3144, 3375, 3387, 3388, 3612, 3795, 3901, 4278, 5276, 5407, 5624, 5798, 5814, 5857, 6239, 6320, 6658, 6821, 6960, 7082, 7295, 7305, 7735, 8183, 8359, 8380, 8522, 8571, 8946, 9251, 9261, 9327, 9491, 9500, 9842, 10054, 10337, 10509, 10675, 11772, 12573, 13468]"
1207,18482,28147,"[320, 665, 1045, 1698, 1921, 2634, 2768, 2801, 3197, 4278, 5634, 5862, 5969, 6100, 7065, 7133, 7192, 7945, 8340, 9169, 9451, 9712, 9918, 10182, 10675, 11438, 12771, 15209, 16055, 16168, 16252]"
1031,18483,38490,"[4, 319, 678, 1083, 1398, 2295, 5969, 9240, 10053, 10124, 11021, 11223, 11667, 12389, 13697, 13848, 15170, 16691]"
3162,18483,22615,"[111, 230, 1318, 1331, 1549, 1552, 1668, 1923, 2135, 2144, 2423, 2424, 2650, 2948, 3076, 3471, 3519, 3814, 5060, 5265, 5276, 6021, 6047, 6303, 6371, 6558, 6958, 7231, 7320, 7429, 7545, 7557, 8372, 8484, 8695, 8919, 9325, 11281, 14350]"
151,18483,30130,"[451, 657, 1088, 1178, 1433, 1621, 2206, 2841, 3612, 4041, 4096, 4282, 4569, 6431, 6627, 7263, 7802, 8037, 8954, 9411, 14187, 14218, 15475, 16010]"
3201,18484,24267,"[1534, 2030, 3357, 6453, 7277, 7528, 7980, 8329, 9240, 10400, 14531]"
345,18486,38219,"[1889, 2442, 2602, 3387, 4485, 5720, 8005, 8258, 10320, 10473, 10644, 11799, 15156, 17233]"
3171,18487,37738,"[2375, 3069, 3535, 5131, 5822, 6193, 7082, 9541, 10752, 13903, 16920]"
1803,18492,28062,"[157, 249, 596, 690, 2646, 5724, 5800, 6068, 6092, 6103, 6964, 6976, 8168, 8435, 8502, 8718, 9045, 9159, 10058, 10218, 11593, 12080, 14739, 16768]"
733,18500,23270,"[18, 159, 954, 1701, 1707, 1934, 2070, 2473, 2832, 3000, 3592, 3770, 3865, 4067, 4120, 4378, 5000, 5369, 5765, 6644, 7065, 7173, 7310, 7312, 7607, 7867, 8191, 8506, 8624, 8878, 8992, 10330, 10682, 10901, 11083, 11722, 11827, 11989, 12133, 12376, 12650, 12658, 12688, 13276, 13306, 13739, 15823, 15975, 16297, 17405]"
3351,18502,33964,"[817, 820, 949, 1068, 2237, 2278, 2329, 2706, 5165, 5932, 6043, 8693, 9915, 10261, 11106, 12320, 13334, 14398, 15119, 15159, 17523]"
156,18502,39271,"[1671, 2237, 2278, 2940, 4041, 4049, 4862, 5471, 6064, 8106]"
3084,18503,21689,"[695, 1212, 1432, 4643, 5544, 6748, 7464, 7498, 7692, 8691, 11711]"
3644,18504,31104,"[4, 76, 1178, 1316, 4890, 5109, 7659, 7814, 8330, 8465, 9172, 9610, 9681, 9901, 10193, 10521, 11063, 11258, 11664, 12429, 13586, 13756, 14530, 15407, 15857, 15937, 16075, 17330, 17592, 18061]"
226,18506,22732,"[1912, 7175, 7305, 8725, 8926, 11258, 15025, 16021, 16168, 16368, 16469, 16471, 17701, 17835, 17981, 18161, 18203, 18240]"
2634,18508,40737,"[67, 859, 2125, 2669, 2933, 4511, 6315, 6665, 7706, 9273, 10521, 11386, 11617, 18164]"
1518,18508,19727,"[866, 6220, 7951, 10962, 11213, 12480, 13053, 14213, 16047, 16062, 16398]"
2357,18508,21397,"[382, 2943, 3771, 4787, 7856, 9239, 9904, 10220, 10481, 10681, 12931, 13878]"
2373,18508,28536,"[949, 1873, 2604, 2697, 2729, 2730, 3137, 3270, 6707, 7698, 8315, 9775, 10537, 12164, 13495, 14304]"
688,18510,31786,"[794, 1371, 2131, 2947, 3180, 4678, 8921, 9991, 12671, 17380, 17567, 18210]"
1209,18512,32089,"[99, 432, 492, 678, 903, 3086, 3388, 4299, 4769, 4895, 5711, 5882, 6746, 8296, 8442, 8827, 9913, 9948, 10224, 11255, 11743, 12019, 12834, 13700, 14504, 17627, 17832, 17975]"
